gender,workload,study_hours,confidence,stress,days_to_deadline,risk
non-binary,6,5.9,6.8,3.9,56,low
male,2,5.7,8.4,6.6,59,low
male,1,10.1,6.7,4.2,47,low
non-binary,5,18.1,5.8,2.7,25,low
female,4,6.2,8.3,2.5,59,medium
female,6,17.7,4.6,6.2,51,high
male,4,15.0,2.9,4.5,50,low
male,2,3.0,5.6,9.3,4,high
female,5,12.0,7.1,5.4,40,medium
non-binary,6,6.0,8.1,3.5,59,medium
female,4,11.1,7.1,5.9,48,low
female,1,9.1,7.7,2.3,32,low
male,2,25.3,8.1,5.3,56,low
female,5,14.7,5.3,6.3,51,high
male,2,9.3,5.7,6.0,52,low
male,1,12.5,8.6,8.8,35,low
male,5,17.2,3.6,10.0,10,high
female,2,11.2,6.9,7.2,34,medium
male,3,24.2,4.6,8.4,36,medium
male,1,11.4,8.2,10.0,6,high
female,1,13.4,6.0,3.0,43,low
male,1,10.5,6.0,5.8,46,low
female,3,7.6,9.5,4.3,16,low
male,3,8.9,3.8,7.6,59,medium
female,4,10.8,6.4,6.2,53,low
female,6,19.2,5.6,3.5,19,low
male,2,21.0,7.1,5.5,34,low
male,4,25.6,9.9,8.1,25,low
male,2,7.5,4.8,2.2,31,low
male,6,16.3,3.6,3.5,49,high
non-binary,3,19.8,4.4,3.1,41,low
male,6,6.7,5.5,6.3,17,medium
female,3,11.8,6.1,8.6,47,low
male,6,3.9,6.2,1.0,30,low
female,4,15.3,9.6,5.7,39,low
female,5,20.9,9.2,3.2,54,low
female,4,5.0,8.6,8.0,55,high
female,2,7.9,10.0,4.9,31,low
male,4,7.7,7.6,5.8,19,low
male,1,6.5,8.2,5.5,35,low
non-binary,2,11.8,7.6,8.3,29,medium
female,6,14.6,7.3,10.0,59,high
non-binary,2,15.8,6.8,2.7,1,medium
male,5,17.8,5.2,3.1,4,medium
female,3,25.8,3.5,6.3,28,low
non-binary,6,11.7,5.7,3.5,18,low
male,2,9.8,7.1,7.8,26,medium
male,6,25.4,6.1,8.2,40,medium
female,6,11.8,3.9,4.1,19,high
female,6,8.8,5.7,3.6,55,medium
female,3,22.4,5.6,4.8,55,low
male,4,10.0,5.9,5.8,60,medium
female,6,15.7,7.0,6.3,57,high
male,1,8.6,7.4,1.0,6,low
male,5,15.2,5.0,3.1,1,high
male,3,15.9,8.0,4.5,8,low
female,2,22.4,8.3,3.5,33,low
female,3,9.9,6.6,1.0,51,low
female,2,12.3,7.3,1.0,43,low
male,3,14.0,8.0,2.2,21,low
female,2,11.6,3.8,5.2,24,low
male,6,7.7,8.1,4.4,25,medium
female,4,18.8,4.4,3.9,47,medium
male,2,12.1,4.6,7.5,55,low
male,2,4.6,6.4,7.5,57,medium
female,1,6.0,1.7,5.9,43,low
male,2,9.6,6.4,5.8,19,low
female,1,8.5,8.0,3.4,29,low
female,5,5.3,2.7,3.7,53,high
male,6,6.2,8.2,1.2,10,medium
female,1,23.9,4.6,4.9,56,low
male,4,18.4,6.4,7.5,12,low
female,6,21.0,4.9,8.9,33,high
non-binary,1,23.6,7.1,4.9,56,low
female,6,9.6,8.0,6.7,7,high
male,6,15.2,7.3,1.0,17,medium
non-binary,6,2.9,6.0,4.4,58,medium
female,5,14.7,5.0,4.4,60,high
male,4,7.4,5.9,9.2,10,high
male,3,8.7,7.3,6.5,31,low
female,3,13.0,7.4,6.7,60,low
female,1,11.2,7.1,6.6,6,low
female,6,8.5,3.4,5.6,17,medium
female,1,8.7,6.0,9.3,50,medium
female,5,6.7,4.7,1.0,37,medium
male,5,5.2,7.3,5.9,18,medium
male,2,5.0,4.5,8.3,26,high
male,5,16.7,6.9,1.0,49,low
female,2,9.9,5.4,7.6,54,low
male,4,21.9,2.2,3.6,16,low
female,1,15.7,7.9,5.8,8,low
female,4,13.7,5.9,3.5,24,low
female,5,6.0,8.6,7.9,13,high
male,4,6.0,2.7,4.8,29,medium
female,4,11.9,5.4,7.6,32,medium
male,4,11.4,5.6,6.6,24,low
female,5,8.8,6.5,3.5,16,medium
male,6,13.5,3.3,6.8,11,high
male,4,12.9,7.1,3.8,32,low
female,2,11.8,9.8,5.7,6,low
male,5,19.0,6.9,4.7,59,low
male,4,25.1,6.2,7.7,35,medium
female,6,11.2,3.2,6.9,33,medium
female,5,9.6,4.5,5.4,18,high
female,3,25.9,5.9,3.8,37,low
female,6,12.3,4.9,2.3,13,medium
female,2,16.4,8.1,5.8,10,low
male,4,7.4,7.1,3.9,37,low
male,3,7.3,10.0,1.0,26,low
male,3,9.6,4.0,2.2,46,low
non-binary,5,12.1,6.1,9.6,17,high
female,3,12.6,3.2,3.9,1,medium
male,2,9.0,1.6,8.2,25,high
female,2,14.0,7.4,4.6,34,low
non-binary,1,13.4,7.0,8.6,39,low
male,2,22.9,4.3,8.4,10,medium
female,6,7.5,6.2,3.4,20,low
female,3,15.9,4.7,1.0,7,low
female,2,11.1,5.0,1.0,56,low
male,5,8.5,5.4,3.5,16,medium
female,1,5.9,4.2,10.0,37,medium
non-binary,3,12.3,4.6,4.5,29,low
female,1,9.6,4.6,5.9,60,low
female,3,11.9,6.8,8.8,12,medium
non-binary,5,5.5,1.0,5.8,17,high
female,1,12.2,5.5,5.7,48,low
male,4,11.8,3.8,7.1,20,high
female,6,16.5,3.9,6.2,26,high
female,6,22.0,4.9,5.3,48,high
male,3,13.7,6.0,3.7,19,low
female,4,8.2,5.6,5.7,58,medium
non-binary,1,12.3,3.9,8.2,47,low
non-binary,4,10.0,7.4,10.0,12,high
female,4,13.5,4.2,6.2,21,medium
male,1,4.3,4.5,7.4,42,medium
non-binary,5,18.5,6.6,6.2,58,medium
female,4,7.4,6.6,5.3,54,low
male,4,7.2,4.8,6.8,34,medium
non-binary,5,11.4,1.0,8.5,7,high
female,4,10.0,4.2,3.3,45,medium
female,4,13.5,6.3,1.9,35,low
female,4,12.0,7.4,4.2,15,low
male,6,17.1,5.8,6.0,1,high
male,2,10.2,5.0,7.7,26,low
male,5,12.2,10.0,3.0,35,medium
female,4,23.4,5.3,1.0,25,low
male,6,7.4,7.2,4.2,42,low
male,5,6.4,3.3,5.0,59,medium
male,3,11.6,3.8,2.6,59,low
female,3,4.4,7.3,3.6,15,low
non-binary,4,6.7,8.1,7.7,22,medium
male,6,5.8,5.2,5.7,59,medium
male,6,2.5,2.3,6.4,6,high
female,5,7.6,5.7,4.6,52,medium
female,5,9.5,6.4,3.6,15,medium
male,6,7.9,6.2,4.6,24,medium
female,5,5.6,4.9,6.7,21,high
male,6,2.8,5.7,1.8,7,high
male,2,8.9,4.5,9.6,57,medium
female,6,9.5,3.8,6.9,29,high
male,3,4.2,7.5,4.2,32,medium
non-binary,5,8.8,6.2,7.5,32,medium
male,6,10.2,5.7,8.6,53,high
female,6,12.2,5.0,4.7,59,medium
female,5,14.4,5.6,5.0,5,medium
male,2,16.5,6.3,9.2,4,high
female,2,7.4,9.5,10.0,22,medium
male,5,7.6,7.3,5.6,18,medium
non-binary,1,5.9,4.7,2.6,35,low
male,5,10.0,4.7,4.3,17,medium
male,5,9.7,4.4,8.1,50,high
male,2,2.3,5.6,2.9,50,low
non-binary,2,4.9,4.4,5.0,56,low
female,5,10.4,6.9,6.2,24,high
female,5,2.0,1.0,3.2,2,high
male,5,12.1,7.1,8.2,13,high
female,2,6.0,6.6,7.2,54,low
male,5,17.4,8.5,10.0,15,medium
female,5,18.7,7.8,7.5,5,medium
male,4,8.0,4.6,3.1,3,high
male,1,9.8,7.5,6.8,37,low
male,3,10.3,5.7,8.0,37,low
female,1,12.6,2.1,8.1,37,medium
female,4,10.1,6.3,3.6,3,medium
male,3,10.9,4.8,3.3,35,medium
female,5,5.8,6.0,2.7,52,low
female,4,7.0,9.3,9.5,23,medium
female,5,10.3,6.4,7.1,60,high
male,2,11.1,4.0,3.4,28,low
male,6,22.7,7.9,5.8,60,low
female,4,13.5,6.7,5.2,30,low
male,2,5.6,3.7,3.1,18,low
male,4,9.3,2.8,5.6,58,medium
female,4,9.0,4.0,6.0,52,high
non-binary,2,9.8,7.7,10.0,36,low
male,3,11.8,5.4,3.9,33,low
male,1,8.4,6.2,1.2,26,low
female,5,19.5,3.3,2.9,48,medium
male,4,5.3,7.7,3.3,40,medium
male,5,10.3,2.0,4.4,17,high
male,6,24.6,4.7,2.9,40,medium
female,2,7.7,6.8,7.6,7,low
female,5,7.7,3.8,2.7,57,medium
male,2,23.8,7.2,5.6,8,low
male,5,13.1,4.3,10.0,53,high
male,1,10.6,3.5,6.9,56,low
female,1,10.5,8.6,6.6,31,low
male,1,18.4,6.3,10.0,59,medium
male,1,8.0,7.0,8.6,58,low
female,1,5.1,8.0,6.9,12,low
male,1,5.3,1.0,4.7,48,low
female,2,12.8,7.3,5.4,31,low
male,4,7.0,4.5,5.3,44,medium
male,5,11.8,4.7,4.5,19,high
male,1,5.7,6.9,6.0,10,low
female,2,13.9,5.3,6.4,39,low
female,2,27.8,7.2,2.4,12,low
female,2,12.5,5.9,9.6,20,medium
male,4,2.0,6.3,6.5,37,medium
female,5,19.8,5.0,4.8,48,medium
male,4,7.4,3.9,6.1,41,medium
male,3,3.9,4.5,7.8,7,high
female,2,2.9,5.8,1.8,52,low
male,3,29.4,9.7,5.2,54,low
male,6,11.1,8.9,2.5,58,low
male,1,7.6,4.7,10.0,14,medium
male,1,8.9,6.1,5.8,11,low
male,4,3.9,5.4,2.6,7,medium
female,5,11.9,6.3,10.0,29,high
male,3,14.5,6.5,4.2,10,low
female,5,5.8,7.1,5.0,29,medium
female,4,12.7,1.0,5.2,9,medium
male,1,32.5,6.7,3.4,36,low
male,5,15.4,5.2,6.1,48,medium
male,5,10.7,4.6,1.0,10,medium
female,1,5.3,7.6,8.2,19,medium
male,3,16.0,8.9,2.7,56,low
female,1,13.3,7.4,4.5,31,low
male,5,7.5,5.0,7.4,17,high
female,3,13.2,3.8,5.0,9,low
male,3,5.3,1.0,5.1,45,medium
male,1,11.5,6.4,3.0,33,low
non-binary,5,9.3,7.2,10.0,34,high
female,4,22.3,5.8,6.8,45,low
male,5,10.5,7.9,2.8,24,medium
female,2,30.1,3.4,5.9,9,low
female,6,10.3,5.7,2.6,7,medium
female,4,13.4,5.5,9.8,16,low
female,3,20.1,5.8,6.0,19,low
male,4,15.7,8.3,3.1,39,low
male,3,2.8,5.8,7.2,6,high
male,3,13.3,5.4,4.8,50,low
female,4,12.9,4.1,2.3,51,low
female,3,4.2,8.7,6.5,11,medium
male,3,16.8,3.1,6.4,12,low
male,2,4.3,4.9,8.3,58,high
female,5,14.2,9.4,5.7,42,medium
non-binary,5,9.8,6.9,5.8,13,medium
female,6,14.4,6.0,5.9,12,medium
male,6,11.5,6.0,9.5,21,high
male,2,9.8,4.1,4.7,10,medium
male,6,10.5,5.9,6.7,20,medium
non-binary,4,4.9,5.3,7.0,50,low
male,1,17.2,6.4,6.4,36,low
female,1,5.6,3.0,4.6,28,low
male,1,12.1,6.8,5.8,24,low
female,2,11.7,8.0,5.3,5,low
female,2,17.2,5.6,10.0,37,medium
female,3,8.2,7.3,4.4,60,low
male,1,4.9,6.6,3.2,12,low
male,4,10.6,4.8,5.5,58,medium
male,6,13.0,3.9,5.3,35,high
non-binary,4,10.5,4.2,6.0,40,medium
female,6,17.6,6.6,4.4,54,low
female,1,10.3,5.9,5.8,2,medium
female,1,3.0,8.6,5.8,50,low
female,1,6.3,7.6,7.8,41,low
male,2,21.3,7.6,5.7,45,low
non-binary,6,12.1,6.5,5.8,39,medium
male,2,6.2,4.1,6.8,42,low
male,2,11.7,6.7,7.7,9,low
female,5,10.0,6.1,3.0,22,medium
male,4,10.5,3.7,2.4,47,medium
male,4,3.2,8.4,9.7,5,high
female,3,12.7,8.2,7.3,12,low
male,2,4.4,3.7,5.0,1,high
female,6,6.0,4.7,5.5,44,medium
male,5,6.4,4.9,4.5,22,medium
male,5,7.2,7.2,6.0,38,medium
male,4,10.7,7.0,3.1,51,low
male,2,11.2,6.1,7.6,19,low
female,3,15.9,6.5,5.9,16,low
male,2,23.8,3.4,6.0,31,low
female,1,18.5,6.8,3.3,51,low
female,2,5.8,5.8,6.8,3,high
female,1,11.8,4.6,3.3,23,low
non-binary,1,17.9,2.9,3.8,42,low
female,3,15.9,6.1,5.7,59,low
male,6,24.2,6.7,10.0,18,low
male,4,12.3,2.6,5.9,26,medium
male,2,8.3,6.0,1.0,13,low
female,1,16.8,6.2,3.9,58,low
male,2,12.2,4.9,7.2,18,low
female,6,14.1,6.8,2.7,3,high
female,4,21.5,5.7,7.6,58,low
male,6,12.5,6.6,5.9,60,low
female,4,18.3,7.1,8.0,23,medium
male,5,8.3,7.1,4.1,3,high
male,4,6.3,8.0,3.9,55,low
female,3,11.0,6.7,6.9,25,low
female,6,10.2,5.0,5.5,27,medium
female,1,18.3,4.7,5.3,58,medium
male,5,22.2,3.9,9.4,44,high
male,3,21.9,6.3,7.0,27,low
female,2,2.4,8.6,1.0,52,low
female,6,5.5,5.3,7.5,39,medium
female,1,8.3,6.9,7.2,25,low
male,4,8.4,4.5,8.5,24,high
female,1,6.9,6.4,3.2,8,low
male,2,8.4,8.5,6.3,9,medium
male,5,22.1,7.4,5.8,46,low
non-binary,5,17.1,2.9,3.1,37,high
male,6,7.1,7.1,7.9,30,medium
non-binary,5,9.6,7.2,4.9,53,low
male,6,12.6,6.3,8.4,19,high
male,6,3.4,7.3,3.6,53,medium
female,6,9.5,4.3,1.8,16,medium
female,4,9.4,6.1,4.9,24,low
female,3,9.2,8.2,6.1,44,low
female,6,17.3,8.0,4.2,21,medium
female,6,9.2,7.1,1.0,36,medium
female,3,3.1,4.2,6.5,40,high
female,1,18.0,3.9,6.4,39,low
male,6,7.7,6.2,7.2,47,medium
female,4,6.3,6.4,4.5,6,high
male,5,7.8,5.8,4.4,5,medium
non-binary,5,22.4,4.4,9.1,14,high
non-binary,2,4.2,6.9,1.6,53,low
male,2,13.5,6.2,4.9,45,low
female,5,8.4,6.6,5.9,42,medium
non-binary,5,13.2,7.2,7.0,50,medium
male,4,4.5,5.5,5.9,4,medium
female,3,9.8,5.0,3.2,8,low
non-binary,2,9.5,8.2,8.4,24,medium
male,3,9.5,4.5,5.5,11,low
female,4,4.9,5.1,1.3,17,medium
male,5,7.2,8.5,6.0,50,medium
non-binary,6,11.0,4.9,6.7,21,high
non-binary,3,2.1,5.8,10.0,57,medium
non-binary,5,4.4,5.2,6.5,26,medium
female,5,10.4,2.4,1.8,43,high
female,1,11.7,5.8,1.9,48,low
female,3,8.8,4.0,8.6,44,high
male,6,10.9,6.5,3.5,45,low
female,3,7.5,8.2,1.6,27,low
male,5,17.1,1.6,8.0,16,high
female,6,21.5,5.2,4.3,55,low
male,4,4.6,6.9,7.9,26,medium
male,1,6.8,1.6,3.2,53,low
male,5,16.4,8.7,9.2,33,medium
female,2,9.1,6.8,7.7,31,low
male,2,14.6,8.2,3.7,48,low
female,1,18.2,4.9,1.3,47,low
male,4,35.6,5.1,10.0,6,medium
male,5,8.3,5.7,5.0,44,low
female,3,9.3,10.0,3.6,8,low
female,1,2.0,8.6,9.0,7,high
male,4,20.7,6.3,7.9,34,low
female,3,2.9,6.5,8.5,44,medium
female,2,15.1,7.3,5.3,53,low
female,2,15.9,10.0,10.0,14,medium
male,3,11.9,6.8,2.2,16,low
male,1,9.0,6.1,4.1,43,low
female,2,17.6,5.3,6.5,52,low
male,5,5.4,6.5,8.4,9,high
female,6,19.0,4.8,7.2,10,medium
female,3,7.3,7.0,5.3,17,low
non-binary,3,9.1,3.1,4.3,12,low
female,2,11.3,5.5,8.4,6,medium
non-binary,1,11.3,7.5,7.4,19,low
male,5,14.1,6.7,3.3,43,medium
female,1,5.1,5.1,3.2,41,low
male,4,10.8,5.5,4.1,53,medium
female,4,13.5,8.1,3.8,29,low
female,6,4.9,3.6,8.1,6,high
female,2,9.2,3.6,6.6,59,medium
non-binary,2,21.6,4.1,6.9,25,medium
female,2,8.6,6.0,6.0,57,low
male,6,17.1,3.3,6.1,24,high
male,4,10.6,7.9,1.5,25,low
female,1,24.5,4.2,7.5,16,medium
male,6,10.1,6.4,4.1,52,low
male,6,11.2,4.8,5.4,16,medium
male,1,17.3,5.9,4.3,6,low
male,2,6.5,2.8,5.9,37,medium
male,5,8.1,8.0,6.9,21,medium
male,1,27.8,4.1,3.0,4,low
male,4,7.6,3.9,6.1,34,high
male,3,11.6,10.0,4.4,28,low
non-binary,3,14.2,7.1,8.8,38,medium
male,6,23.3,7.9,2.7,41,low
male,3,3.7,6.9,3.0,28,medium
female,5,5.8,5.1,4.6,17,medium
male,2,15.8,3.4,3.2,14,low
non-binary,4,23.5,5.4,4.9,7,low
female,5,15.8,4.0,4.2,22,medium
male,4,5.4,4.2,5.7,51,medium
male,4,8.2,2.8,8.0,1,high
female,2,15.6,6.2,5.7,29,low
non-binary,6,6.0,9.1,5.9,52,medium
female,3,19.7,7.1,2.9,31,low
female,2,11.4,5.8,5.2,30,low
male,5,4.7,5.9,4.4,57,low
non-binary,6,14.7,1.0,7.2,15,high
male,5,9.6,5.2,3.6,18,low
non-binary,6,8.1,3.1,3.3,35,medium
female,5,6.3,6.3,6.3,50,medium
female,2,9.3,5.5,10.0,30,medium
female,6,9.9,4.3,5.1,34,medium
male,6,12.2,6.2,5.9,42,medium
male,4,6.1,6.2,7.9,11,medium
male,4,6.6,9.0,6.8,27,medium
male,1,21.0,7.4,6.8,24,low
female,5,4.9,6.4,5.3,35,high
male,4,16.6,4.1,5.3,39,low
male,1,3.8,3.9,3.6,8,low
non-binary,4,16.4,7.2,6.7,51,low
female,5,4.3,5.6,6.7,18,high
non-binary,6,16.6,6.5,7.3,13,medium
non-binary,3,8.9,8.0,4.3,45,low
male,5,8.8,3.0,7.6,24,high
male,2,27.1,8.8,8.3,51,low
female,4,4.9,7.9,2.5,23,low
female,4,8.9,1.9,4.8,12,high
male,6,13.5,10.0,8.4,49,high
female,2,14.9,6.6,3.9,30,low
male,6,23.5,5.0,6.8,31,high
male,2,4.2,7.0,5.5,28,low
female,3,21.9,4.0,6.3,22,low
female,4,6.1,7.1,5.6,44,medium
female,4,6.6,4.4,7.4,28,medium
male,3,17.7,10.0,2.9,13,low
female,1,19.9,6.1,3.2,25,low
male,6,6.9,7.3,9.2,44,high
male,3,15.3,4.4,10.0,51,high
female,6,8.9,7.6,5.5,46,low
non-binary,5,10.1,6.0,9.8,7,high
female,4,8.9,3.2,3.6,45,medium
female,6,4.9,5.5,4.2,6,high
female,2,11.1,9.9,9.1,24,low
female,6,8.0,7.7,7.5,19,medium
male,5,19.5,5.2,9.5,19,high
male,4,14.0,2.3,6.7,36,medium
male,3,16.8,4.3,3.0,51,medium
male,5,9.5,3.2,6.1,9,high
female,4,8.9,2.3,8.5,48,high
female,6,10.1,7.6,5.2,59,medium
male,1,26.2,6.1,4.8,36,low
male,1,6.0,9.6,6.7,38,low
female,2,9.0,4.0,4.1,40,low
male,4,8.6,6.0,6.2,59,medium
female,1,16.4,3.2,5.7,29,low
female,3,11.3,4.8,4.3,24,low
female,4,7.8,5.6,8.0,48,high
female,3,18.2,5.3,7.1,5,low
female,3,19.8,6.1,4.6,53,low
male,1,21.0,7.9,5.5,54,low
female,4,9.5,7.7,4.8,42,low
female,6,13.9,4.5,3.9,55,high
male,5,9.1,5.9,1.3,45,medium
female,1,32.6,7.6,4.3,26,low
female,1,12.9,8.1,3.9,14,low
female,6,13.5,4.7,5.8,39,medium
female,4,8.9,7.4,6.6,29,medium
female,4,10.2,6.7,3.5,52,low
female,3,7.0,3.9,6.4,6,high
female,6,6.0,7.6,3.1,7,high
female,6,10.9,6.3,5.2,37,medium
female,4,10.3,2.5,4.0,53,medium
female,3,8.9,5.4,7.4,18,low
female,1,15.5,6.1,5.8,23,low
male,2,11.2,4.8,5.2,44,low
female,5,12.0,8.5,3.9,38,medium
female,1,21.8,8.5,4.7,59,low
male,4,20.6,5.2,10.0,1,high
female,5,14.4,5.0,4.2,4,high
male,2,17.6,5.7,6.7,51,low
male,2,3.7,5.6,5.2,44,low
female,3,15.6,4.8,6.6,47,low
male,5,10.2,1.0,7.6,35,high
female,3,15.3,9.5,4.6,23,low
female,1,7.1,6.0,7.3,27,low
female,6,8.7,5.6,10.0,60,high
male,6,8.3,6.7,6.9,26,medium
male,6,9.8,5.8,9.5,52,high
female,5,16.0,5.1,6.7,60,medium
non-binary,6,6.0,4.0,3.2,8,medium
female,1,10.5,2.3,6.2,43,medium
male,3,11.8,3.3,4.7,16,low
female,5,5.1,3.8,4.0,41,medium
female,3,11.6,7.3,5.3,3,medium
female,5,7.6,7.4,5.1,32,medium
male,3,10.3,4.2,2.9,5,medium
female,2,18.4,1.0,10.0,20,medium
female,3,10.2,6.0,7.5,14,low
non-binary,6,19.8,5.2,6.1,60,medium
male,2,9.1,5.1,5.7,32,low
female,3,6.8,7.9,8.5,26,medium
non-binary,5,13.5,6.3,10.0,47,high
male,5,12.2,4.0,7.2,6,high
non-binary,5,14.4,3.6,5.8,59,medium
female,4,8.5,5.5,9.2,58,high
male,1,15.4,4.2,5.9,36,low
male,5,7.0,5.9,6.6,40,medium
female,2,34.3,8.1,8.0,51,low
male,5,15.5,3.2,4.5,59,medium
female,4,37.3,6.2,1.0,5,low
male,6,16.5,7.8,4.4,13,medium
female,2,17.0,5.8,7.4,32,low
male,4,16.0,7.4,7.3,16,medium
female,6,6.2,5.4,8.9,1,high
non-binary,2,11.7,6.3,4.5,13,low
non-binary,3,9.8,6.9,9.5,54,low
female,1,12.7,4.9,6.0,11,medium
male,1,12.0,10.0,7.0,53,low
